Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470nF","C_0603_1608Metric",105.900000,-78.700000,0.000000,bottom
"C5","470nF","C_0603_1608Metric",100.325000,-74.775000,180.000000,bottom
"C6","470nF","C_0603_1608Metric",100.325000,-73.100000,180.000000,bottom
"C7","100uF","CP_Elec_6.3x7.7",90.725000,-83.850000,0.000000,bottom
"C8","100uF","CP_Elec_6.3x7.7",93.875000,-96.725000,180.000000,bottom
"C9","1nF","C_0603_1608Metric",100.775000,-84.825000,180.000000,bottom
"C10","1nF","C_0603_1608Metric",101.500000,-93.925000,0.000000,bottom
"D1","D","D_SOD-323F",104.150000,-84.625000,180.000000,bottom
"D2","D","D_SOD-323F",107.475000,-84.600000,180.000000,bottom
"R1","1k","R_0603_1608Metric",112.250000,-86.750000,0.000000,bottom
"R2","1k","R_0603_1608Metric",112.250000,-88.500000,180.000000,bottom
"R3","1k","R_0603_1608Metric",112.250000,-90.250000,180.000000,bottom
"R4","1k","R_0603_1608Metric",112.250000,-92.000000,180.000000,bottom
"R5","1k","R_0603_1608Metric",112.250000,-93.750000,180.000000,bottom
"R6","1k","R_0603_1608Metric",112.250000,-95.500000,0.000000,bottom
"R7","1k","R_0603_1608Metric",100.375000,-76.450000,0.000000,bottom
"R8","1k","R_0603_1608Metric",100.375000,-78.025000,0.000000,bottom
"R9","1k","R_0603_1608Metric",94.750000,-61.900000,-0.000000,bottom
"R12","1k","R_0603_1608Metric",105.275000,-46.725000,180.000000,bottom
"RD1","1M","R_0603_1608Metric",97.350000,-24.225000,270.000000,bottom
"U1","TL074","SOIC-14_3.9x8.7mm_P1.27mm",99.750000,-89.425000,270.000000,bottom
