Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,-92.825000,-83.350000,180.000000,bottom
C5,10uF,C_0603_1608Metric,-99.000000,-82.300000,180.000000,bottom
C6,10uF,C_0603_1608Metric,-99.000000,-83.825000,180.000000,bottom
C7,100uF,CP_Elec_6.3x7.7,-108.950000,-99.822000,180.000000,bottom
C8,100uF,CP_Elec_6.3x7.7,-90.000000,-99.525000,180.000000,bottom
C9,1nF,C_0603_1608Metric,-104.500000,-102.590500,90.000000,bottom
C10,1nF,C_0603_1608Metric,-95.500000,-101.750000,270.000000,bottom
D1,D,D_SMA,-104.000000,-107.750000,0.000000,bottom
D2,D,D_SMA,-111.250000,-107.750000,0.000000,bottom
R1,1k,R_0603_1608Metric,-104.902000,-93.714000,180.000000,bottom
R2,1k,R_0603_1608Metric,-104.902000,-92.190000,0.000000,bottom
R3,1k,R_0603_1608Metric,-104.902000,-89.916000,0.000000,bottom
R4,1k,R_0603_1608Metric,-104.902000,-88.392000,0.000000,bottom
R5,1k,R_0603_1608Metric,-104.902000,-86.868000,0.000000,bottom
R6,1k,R_0603_1608Metric,-104.902000,-85.344000,180.000000,bottom
R7,2.2k,R_0603_1608Metric,-104.902000,-83.170000,0.000000,bottom
R8,2.2k,R_0603_1608Metric,-104.902000,-81.646000,0.000000,bottom
R9,100k,R_0603_1608Metric,-109.500000,-82.450000,270.000000,bottom
R10,100k,R_0603_1608Metric,-105.250000,-35.125000,180.000000,bottom
R11,1k,R_0603_1608Metric,-100.000000,-70.500000,270.000000,bottom
U1,TL074,SOIC-14_3.9x8.7mm_P1.27mm,-100.000000,-100.000000,270.000000,bottom
