Designator,Mid X,Mid Y,Rotation,Layer
C1,-90.554,-91.694,0,bottom
C2,-90.554,-94.234,0,bottom
C3,-86.896,-79.596,180,bottom
C4,-86.896,-81.986,180,bottom
C5,-86.896,-84.422,180,bottom
C6,-86.896,-86.962,180,bottom
C7,-109.22,-99.822,0,bottom
C8,-89.25,-99.525,0,bottom
C9,-104.648,-102.5905,90,bottom
C10,-94.775,-101.75,270,bottom
D1,-104.75,-107.75,0,bottom
D2,-112,-107.75,0,bottom
R1,-104.902,-93.714,180,bottom
R2,-104.902,-92.19,0,bottom
R3,-104.902,-89.916,0,bottom
R4,-104.902,-88.392,0,bottom
R5,-104.902,-86.868,0,bottom
R6,-104.902,-85.344,180,bottom
R7,-104.902,-83.17,0,bottom
R8,-104.902,-81.646,0,bottom
U1,-100,-100,180,bottom
